Speaker at talk about entrepreneurship organized by EOI EOI Coworking Redepyme - Workshop Team Design,talk,speaker,entrepreneurship,EOI,,2015-03-25,2015-03-25,2.5,20,"Campus EOI Madrid. Avda. Gregorio del Amo, 6. 28040 , Madrid, Spain",,http://googledrive.com/host/0B0YWdwxH6K5XYWZmU3VzdjBxQmM/public/collaborations/EOI.jpg
Professor at class about innovation organized by Instituto Europeo di Design,class,professor,innovation,Instituto Europeo di Design,,2015-03-27,2015-03-27,,,"Larra 14, Madrid (aula magna), Madrid, Spain",,http://googledrive.com/host/0B0YWdwxH6K5XYWZmU3VzdjBxQmM/public/collaborations/Instituto Europeo di Design.jpg
Professor at class about innovation organized by Universidad de Alicante,class,professor,innovation,Universidad de Alicante,,2015-05-04,2015-05-05,10,30,"Alicante, Spain",,http://googledrive.com/host/0B0YWdwxH6K5XYWZmU3VzdjBxQmM/public/collaborations/Universidad de Alicante.jpg
Advisor at mentorship about innovation organized by Universidad de Alicante,mentorship,advisor,innovation,Universidad de Alicante,,2015-05-04,2015-05-07,25,25,"Alicante, Spain",,http://googledrive.com/host/0B0YWdwxH6K5XYWZmU3VzdjBxQmM/public/collaborations/Universidad de Alicante.jpg
Jury Member at competition about entrepreneurship organized by UNED in Madrid,competition,jury member,entrepreneurship,UNED,,2015-07-03,2015-07-03,,,"c/ Obispo Trejo, nº 2 Madrid",Madrid,http://googledrive.com/host/0B0YWdwxH6K5XYWZmU3VzdjBxQmM/public/collaborations/UNED.jpg
Advisor at mentorship about entrepreneurship organized by Google in Madrid,mentorship,advisor,entrepreneurship,Google,,2015-07-08,2015-07-08,5,10,Google Campus Madrid,Madrid,http://googledrive.com/host/0B0YWdwxH6K5XYWZmU3VzdjBxQmM/public/collaborations/Google.jpg
Professor at class about entrepreneurship organized by Caja Canarias,class,professor,entrepreneurship,Caja Canarias,,2015-07-01,2015-07-17,30,120,on-line,,http://googledrive.com/host/0B0YWdwxH6K5XYWZmU3VzdjBxQmM/public/collaborations/Caja Canarias.jpg
Professor at class about entrepreneurship organized by Universidad de La Coruña in La Coruña,class,professor,entrepreneurship,Universidad de La Coruña,,2015-05-14,2015-05-15,8,25,"La Coruña, Spain",La Coruña,http://googledrive.com/host/0B0YWdwxH6K5XYWZmU3VzdjBxQmM/public/collaborations/Universidad de La Coruña.jpg
Advisor at mentorship about entrepreneurship organized by EOI in Madrid,mentorship,advisor,entrepreneurship,EOI,,2015-02-01,2015-07-15,18,5,"Campus EOI Madrid. Avda. Gregorio del Amo, 6. 28040 , Madrid, Spain",Madrid,http://googledrive.com/host/0B0YWdwxH6K5XYWZmU3VzdjBxQmM/public/collaborations/EOI.jpg
Organizer at accelerator about entrepreneurship organized by EOI in Madrid,accelerator,organizer,entrepreneurship,EOI,,2015-05-14,2015-05-15,60,24,"Campus EOI Madrid. Avda. Gregorio del Amo, 6. 28040 , Madrid, Spain",Madrid,http://googledrive.com/host/0B0YWdwxH6K5XYWZmU3VzdjBxQmM/public/collaborations/EOI.jpg
Professor at class about innovation organized by Instituto Europeo di Design in Madrid Curso Diseño y Gestión de Proyectos Creativos e Innovadores,class,professor,innovation,Instituto Europeo di Design,,2015-06-01,2015-07-24,4,8,"Larra 14, Madrid, Madrid, Spain",Madrid,http://googledrive.com/host/0B0YWdwxH6K5XYWZmU3VzdjBxQmM/public/collaborations/Instituto Europeo di Design.jpg
Interviewer at interview about entrepreneurship organized by Capital Radio in Madrid José Manuel Vega - Socio y responsable de estrategia digital en EL EQUIPO E,interview,interviewer,entrepreneurship,Capital Radio,José Manuel Vega,2015-04-13,2015-04-13,1.5,,"Calle Marqués de Villamejor, 5, , Madrid, Spain",Madrid,http://googledrive.com/host/0B0YWdwxH6K5XYWZmU3VzdjBxQmM/public/collaborations/Capital Radio.jpg
Interviewer at interview about entrepreneurship organized by Capital Radio in Madrid Elena Dalmau Castro y Miguel Martínez-Vilanova - Co-founders de Teprefierocomoamigo y Anandaya.es,interview,interviewer,entrepreneurship,Capital Radio,Elena Dalmau Castro y Miguel Martínez-Vilanova,2015-04-27,2015-04-27,1.5,,"Calle Marqués de Villamejor, 5, , Madrid, Spain",Madrid,http://googledrive.com/host/0B0YWdwxH6K5XYWZmU3VzdjBxQmM/public/collaborations/Capital Radio.jpg
"Interviewer at interview about entrepreneurship organized by Capital Radio in Madrid Rodolfo Carpintier  Founder and Shareholder, DAD - Digital Assets Deployment",interview,interviewer,entrepreneurship,Capital Radio,"Rodolfo Carpintier  Founder and Shareholder, DAD",2015-03-23,2015-03-23,1.5,,"Calle Marqués de Villamejor, 5, , Madrid, Spain",Madrid,http://googledrive.com/host/0B0YWdwxH6K5XYWZmU3VzdjBxQmM/public/collaborations/Capital Radio.jpg
"Interviewer at interview about entrepreneurship organized by Capital Radio in Madrid Eduardo Robles Elvira - CTO at Agora Voting, Wadobo software developer",interview,interviewer,entrepreneurship,Capital Radio,Eduardo Robles Elvira,2015-03-23,2015-03-23,1.5,,"Calle Marqués de Villamejor, 5, , Madrid, Spain",Madrid,http://googledrive.com/host/0B0YWdwxH6K5XYWZmU3VzdjBxQmM/public/collaborations/Capital Radio.jpg
Interviewer at interview about entrepreneurship organized by Capital Radio in Madrid Agustín Valentín-Gamazo Villar - Fundador y Gerente en enviroo.com,interview,interviewer,entrepreneurship,Capital Radio,Agustín Valentín-Gamazo Villar,2015-05-18,2015-05-18,1.5,,"Calle Marqués de Villamejor, 5, , Madrid, Spain",Madrid,http://googledrive.com/host/0B0YWdwxH6K5XYWZmU3VzdjBxQmM/public/collaborations/Capital Radio.jpg
Interviewer at interview about entrepreneurship organized by Capital Radio in Madrid Bernardo Martinez - Business Development Manager en Conector Startup Accelerator,interview,interviewer,entrepreneurship,Capital Radio,Bernardo Martinez,2015-06-01,2015-06-01,1.5,,"Calle Marqués de Villamejor, 5, , Madrid, Spain",Madrid,http://googledrive.com/host/0B0YWdwxH6K5XYWZmU3VzdjBxQmM/public/collaborations/Capital Radio.jpg
Interviewer at interview about entrepreneurship organized by Capital Radio in Madrid Isabel Ortiz Travado - Co-Fundadora de Mumumío,interview,interviewer,entrepreneurship,Capital Radio,Isabel Ortiz Travado,2015-04-22,2015-04-22,1.5,,"Calle Marqués de Villamejor, 5, , Madrid, Spain",Madrid,http://googledrive.com/host/0B0YWdwxH6K5XYWZmU3VzdjBxQmM/public/collaborations/Capital Radio.jpg
